,remark
1867,长期
1868,开门 收钱 补仓
1869,不要脸
1870,赔空
1871,一路 见证 10
1872,没得 股票 买会输 看错
1873,大跳水 调整
1874,新能源 光伏 医疗 半导体 投资 分享
1875,多年 分红 解释
1876,明天 节前 交易日 毋庸置疑 新能源 大涨
1877,涨得 跌得 垃圾
1878,最佳 姿势
1879,2022.5 31 半导体 昨天 加仓 正确 开心
1880,多年 没红过 解释
1881,上证 冲击 3200 未果 指数 反弹 预期
1882,投资者 热情 一批 氢气 公司 上市
1883,为啥 你定 赚钱 原因 找到
1884,节前 行情 开启 新手
1885,新能源 光伏 医疗 半导体 投资 分享
1886,2022.6 理财 日记 各大 板块 回落
1887,知名 酒庄 配置 肯定
1888,清洁 隶属于 新能源 板块 值得 关注
1889,昨天 逢节 必跌
1890,亏了 25 个点 真的 感觉 没个 一年
1891,蜗牛 爬井 这基 惊讶 惊讶 惊讶 大笑
1892,清仓 要点 face 对得起
1893,乐色 习惯
1894,昨天 大涨 呈现出 震荡 小跌 走势
1895,股票 复盘 热门 赛道 反弹 恭喜 详细
1896,还好 慢慢
1897,多空 博弈 厉害 下午
1898,刘彦春 傅鹏博 谢治宇 顶流 重磅 业绩 出炉
1899,6.1 周定 行情
1900,27.68 有人 解套
1901,弱势 回调 强势 三天
1902,欧美 市场 转跌 风景 A股 独好 看涨
1903,环境 发财 环境 天才 个个 炒股
1904,加仓点
1905,80% 持有者
1906,汽车 活跃 半导体 尾盘 拉涨 方向 平淡无奇
1907,2022.6 半导体 异动 拉升 短线 一眼
1908,告别 迎接 每月 晒图
1909,OTCFUND 005827
1910,5.30 操作 暴涨
1911,2022.6 昨天 预期 调整
1912,完美 收官 两天 累计 回款 1W 期待 六月 开门红
1913,五月 六月
1914,股民 新能源 带动 大盘 连涨 多天 调整
1915,这基 挺稳 冲劲
1916,昨天 算到 新能源 调整
1917,努力 回去
1918,10 只鸡里 五月 唯一 亏损
1919,财经 晨信
1920,油气 煤炭 多久 业内人士
1921,加油
1922,全职 炒股 第四 四周
1923,崛起 加油
1924,食品 开启 起飞 模式 可惜 上车 打算
1925,2.28 成本 感觉 下压
1926,日记 22
1927,好像 买点 一周 买点
1928,新能源 光伏 反弹 过高 均衡 配置
1929,19.87 怎办
1930,摊薄 2.5 举个
1931,永远 折磨 明天 上涨 清仓 我觉
1932,中期 长期
1933,大盘 选择 向上 突破 诱多
1934,完美 收官 聊聊 区分 主动 分类
1935,每日 点评 31
1936,A股 多条 均线 创业板 强势 反弹
1937,A股 红五月 完美 收官 六月 可期
1938,三个 回本 加油
1939,废物 海康 威视 回撤 44 大盘 3200
1940,尾盘 主力 卖出 明天 必跌 调整 新能
1941,不想 不行 4000 多只 红色 操作
1942,微笑
1943,指点 亏了 40 混在 加仓
1944,事实上
1945,韭菜 股票
1946,回到 3.5287
1947,捂脸 捂脸 捂脸
1948,磨底 时间 3150 压力 依旧
1949,留言 瓜分 香薰 积分 大礼 儿童节 聊聊 长大 玩具
1950,六一 儿童节 一路 成长
1951,瓜分 2w 积分 孩子 理财 粽意 哪类 资产
1952,新能源 男孩 女孩 千元 有奖 召集令
1953,油气 煤炭 多久 业内人士
1954,大跳水 调整
1955,新能源 光伏 医疗 半导体 投资 分享
1956,多年 分红 解释
1957,明天 节前 交易日 毋庸置疑 新能源 大涨
1958,涨得 跌得 垃圾
1959,最佳 姿势
1960,2022.5 31 半导体 昨天 加仓 正确 开心
1961,多年 没红过 解释
1962,上证 冲击 3200 未果 指数 反弹 预期
1963,投资者 热情 一批 氢气 公司 上市
1964,为啥 你定 赚钱 原因 找到
1965,节前 行情 开启 新手
1966,新能源 光伏 医疗 半导体 投资 分享
1967,2022.6 理财 日记 各大 板块 回落
1968,知名 酒庄 配置 肯定
1969,清洁 隶属于 新能源 板块 值得 关注
1970,昨天 逢节 必跌
1971,亏了 25 个点 真的 感觉 没个 一年
1972,蜗牛 爬井 这基 惊讶 惊讶 惊讶 大笑
1973,清仓 要点 face 对得起
1974,乐色 习惯
1975,昨天 大涨 呈现出 震荡 小跌 走势
1976,股票 复盘 热门 赛道 反弹 恭喜 详细
1977,还好 慢慢
1978,多空 博弈 厉害 下午
1979,刘彦春 傅鹏博 谢治宇 顶流 重磅 业绩 出炉
1980,6.1 周定 行情
1981,27.68 有人 解套
1982,弱势 回调 强势 三天
1983,欧美 市场 转跌 风景 A股 独好 看涨
1984,环境 发财 环境 天才 个个 炒股
1985,加仓点
1986,80% 持有者
1987,汽车 活跃 半导体 尾盘 拉涨 方向 平淡无奇
1988,2022.6 半导体 异动 拉升 短线 一眼
1989,告别 迎接 每月 晒图
1990,OTCFUND 005827
1991,5.30 操作 暴涨
1992,2022.6 昨天 预期 调整
1993,完美 收官 两天 累计 回款 1W 期待 六月 开门红
1994,五月 六月
1995,股民 新能源 带动 大盘 连涨 多天 调整
1996,这基 挺稳 冲劲
1997,昨天 算到 新能源 调整
1998,努力 回去
1999,10 只鸡里 五月 唯一 亏损
2000,财经 晨信
2001,加油
2002,全职 炒股 第四 四周
2003,崛起 加油
2004,食品 开启 起飞 模式 可惜 上车 打算
2005,2.28 成本 感觉 下压
2006,日记 22
2007,好像 买点 一周 买点
2008,新能源 光伏 反弹 过高 均衡 配置
2009,19.87 怎办
2010,摊薄 2.5 举个
2011,永远 折磨 明天 上涨 清仓 我觉
2012,中期 长期
2013,大盘 选择 向上 突破 诱多
2014,完美 收官 聊聊 区分 主动 分类
2015,每日 点评 31
2016,A股 多条 均线 创业板 强势 反弹
2017,A股 红五月 完美 收官 六月 可期
2018,三个 回本 加油
2019,废物 海康 威视 回撤 44 大盘 3200
2020,尾盘 主力 卖出 明天 必跌 调整 新能
2021,不想 不行 4000 多只 红色 操作
2022,微笑
2023,指点 亏了 40 混在 加仓
2024,事实上
2025,韭菜 股票
2026,回到 3.5287
2027,捂脸 捂脸 捂脸
2028,磨底 时间 3150 压力 依旧
2029,收评 光伏 大涨 布局
2030,2022 回本 希望 希望 消费 持续
2031,明天 入场
2032,亏麻 投资 血泪史
2033,OTCFUND 005827 15%
2034,刚买 大跌 害怕
2035,金融 消费 光伏 助力 指数 突破 行情
2036,消费 食品 给力 拉动 行情 走势 一路上 稳住
2037,死去 活过来
2038,发现 羊毛
2039,延续 强势 撤退
2040,2022.5 31 收盘 播报 霸气 北向 资金 买入 140 亿元
2041,两天 大涨 新能源 小涨 明天 该轮 大跌
2042,创业板 大涨 2% 医药 医疗 消费 电子 多点 开花
2043,国家 刺激 消费
2044,算是
2045,OTCFUND 005827 行情
2046,第二轮 新能源 汽车 涨价 开启 短期 新增 订单 影响
2047,跌比 厉害
2048,午评 食品饮料 光伏 制造业 加速 回暖 指数 3200 点迈
2049,怂货
2050,22 国家 发展 改革 能源 印发 十四五
2051,2022.5 31 理财 日记 煤炭 光伏 涨要
2052,一路 强行 拉到 2.45 成本
2053,又行
2054,发力
2055,发愁
2056,加油 医药 超过
2057,算是 市场 转好 表现
2058,交易 记录 参考价值
2059,看好 消费 医疗 疫情 复苏 科技 创新 主旋律
2060,一无是处 后悔 没买 侯昊
2061,一点
2062,最差 已亏 40%
2063,医疗 体无完肤 反弹
2064,OTCFUND 005827 照样
2065,一万遍
2066,半死不活
2067,周一 欧市 小涨 休市 A股 反弹
2068,2022.5 31 昨天 右侧 追涨 六一 儿童节 礼物
2069,跟着 散户 血本无归
2070,迎来 反弹 操作 贴来
2071,财经 晨信 31
2072,小孩 礼物
2073,收评 新能源 上涨 近期 加仓
2074,中证 1000 大涨 9.55% 上证 50 0.96% 小盘
2075,性格
2076,日记 22 31
2077,月份 投资 定向 前瞻
2078,科技 消费 轮动 补涨 短线 进一步 乐观 看待
2079,海康 招行 不活
2080,复盘 下周一 A股 上涨
2081,消费 迎来 补涨 行情 煤炭 地产 领跌
2082,复盘 突破 3100 点后 反弹 延续
2083,新能源 光伏 半导体 医疗 投资 分享
2084,收益 鼓掌
2085,控制 仓位 永远 最低点 便宜
2086,转机 行情 明天 有望 持续
2087,百万 实盘 大头 29 投资 分享 后期
2088,投资人 控制情绪 理性
2089,周一 大涨 有没有 持续性 观点
2090,发力
2091,每日 点评 30
2092,感觉 好难
2093,反弹
2094,大涨 大成 新锐 价值 成长
2095,指数 震荡 格局 风格 轮动 乐观
2096,天大 喜信 顶流 jj 炼成
2097,公墓 jj 改革 关键
2098,复盘 创业板 指将 迎来 分化 板块 详细分析
2099,涨幅 正好 重仓股 吼吼
2100,三个 发现 地板
2101,上周 投资 复盘
2102,业绩 高水平 释放 区域 城农 商行 表现 亮眼 22Q1
2103,晚上 涨得 消费 涨得 消费 估值 2.85%
2104,进场 下个星期 还会
2105,每周 四天 剩下
2106,表现 不错 又行
2107,挺稳 冲劲 感觉 博时
2108,应变能力 太差
2109,放量 上涨 北向 资金 流入 消费 分析
2110,午评 端午 食品饮料 率先 起航
2111,2022.5 30 理财 日记 煤炭 涨要 右侧 追涨 加仓
2112,经济 参考报 多个 部委 负责人 接连 发声 一揽子 着力
2113,多项 政策 助力 经济 恢复 经济 基本面
2114,进退自如 债基 身手 敏捷 比例 固收
2115,A股 强势 金融 尾盘 需谨慎
2116,2022.5 30 午评 煤炭
2117,探底 回升 冲高 回落 指数 小幅 震荡 争夺 激烈
2118,行情 不错 波动
2119,OTCFUND 005827 上周 刚清
2120,收盘
2121,坤哥 一年 周发
2122,美团 海康 对换
2123,第二重 招商银行 真的 看不懂
2124,消费 指数
2125,OTCFUND 005827 该换
2126,OTCFUND 005827 垃圾 盲选
2127,收盘 高开低走
2128,财经 晨信 30
2129,两年
2130,日记 22 30
2131,A股 午后 跳水 翻绿 验证 这一 行情 本质
2132,周评 周末 消息面 汇总 下周 板块 布局
2133,分批 买入 案例
2134,OTCFUND 005827 无良
2135,投资 成败
2136,赌坤坤 赌大 崛起
2137,股债 性价比 抵达 3.0 后续 行情
2138,接盘 海康 威视 招生 银行 水平 十年
2139,2022.5 29 实盘
2140,百万 实盘 大头 27 投资 分享 耐心 等待 市场
2141,投顾 项目 周报 20220527
2142,OTCFUND 005827 每次
2143,OTCFUND 005827 多定
2144,权益 预冷 同业 爆火 冰火 两重天 背后 大部分
2145,小财 理财 收益 消费 港基 医疗 持仓 思路 分析
2146,公募 首席 经济学家 A股 市场 抄底
2147,穿着 运动裤 玉林 有没有
2148,长期 估值 辩证 思考
2149,基民 不管怎么 操作 盈亏 无关
2150,太阳 南边 一下张 恩赐 砖家 理财
2151,黑色 闪电 垃圾
2152,组合 周报 正表 20220527
2153,一周 4.17% 1.27% 收入 绩效
2154,差到 地步 操盘 韭菜
2155,混合型 证券 投资 更新 招募 说明书
2156,投资 亏了 20% 割肉 止损
2157,眼瞎 垃圾 两年 套牢 出不来
2158,收评 医疗 上涨 入场 布局
2159,欧美 市场 集体 小涨 A股 利好 频频 反弹
2160,往下走
2161,没发力
2162,关键 窗口期
2163,每日 点评 27
2164,但斌 最新 发言 10% 高端 仓位
2165,下车
2166,四天
2167,一周 4.17% 四天 1.27%
2168,图片
2169,OTCFUND 005827
2170,政策底 满月 天天 大盘
2171,斗基 大赛 005827
2172,走势 行情
2173,寂寞 礼拜 半死不活
2174,一年 亏损 20% 黑猫 投诉 平台 投诉
2175,请问 天天 估值 有算
2176,不愧 一哥
2177,险资 股票 仓位 处于 低位 机构 吸筹
2178,欧美 市场 跌多涨少 A股 反弹 有戏
2179,三连阴 投资 价值 深度 解析 一波
2180,星期 四天 小涨 厉害 买入 卖出
2181,假期 季报 观点
2182,欧美 市场 集体 小涨 A股 利好 频频 反弹
2183,持仓 里边 全红
2184,日前 国家 能源 发布 数据 显示 截止 11 月底 全国 风电
2185,灌死 一年 起色
2186,你好 一波 开盘 猛如虎 收盘 两毛五
2187,跳真 顶不住 剩下 仓位 加仓
2188,好不容易 回点 尾盘 A股
2189,啥时候 起飞 感觉 调整 一个月 接回来
2190,指数 遇阻 回落 午后 内外资 持续 小幅 流出 短期 该不该
2191,新能源 汽车 未来 发展 空间 非常广阔
2192,5.27 操作 风险 短期 调整
2193,一到 下午 拉稀
2194,小財 理财 27 操作 策略 证券 医疗 消费 半导体 电子
2195,回本
2196,连跌 终于 大涨 没得 房地产
2197,长期 持有 预测 行情 经济 增长
2198,这钩 指数 涨不动 大跌 肯定
2199,复盘 普涨 情绪 不错 新能源 板块 分析
2200,2022.5 27 理财 日记 煤炭 冲高 回落
2201,医疗 新能源 光伏 半导体 投资 分享
2202,日前 国家 能源 发布 数据 显示 截止 11 月底 全国 风电
2203,指数 冲高 回落 市场 纠结 后市 计划
2204,午评 指数 一周 原地踏步 化工原料 医药 教育 回暖
2205,垃圾 赶紧 回老家
2206,2022.5 27 午评 煤炭 快到
2207,别演 乐色
2208,明星 不行 去年 赢利 回去 亏损
2209,5.26 操作 盘中 拉升 调整 结束
2210,长期 持有 绿帽
2211,上周 买入 三份 本周 关注 ...
2212,抛弃 大哭
2213,新能源 股票 表现 有人
2214,懂得 无人问津 买入 懂得 人声鼎沸 卖出
2215,挺过 至暗 时刻 科技 龙头 划算
2216,持股 估值
2217,国家 能源 发布 数据 显示 截止 11 月底 全国 太阳能
2218,三块 两块 想着 低点 害亏 17
2219,一周 天跌 bi
2220,2022.5 27 盘中 板块 值得 关注 基建
2221,1000 30 摇身 600
2222,行业 不行 不行 平均数
2223,两年 32 个点 一点 越亏
2224,疯狂 来个
2225,规律 红色 星期五
2226,三天
2227,财经 晨信 27
2228,指数 小跌 指数 大跌
2229,日记 22 27
2230,深圳 发布 销费 恢复 措施 消费 板块 有救
2231,名副其实
2232,医药 回落 倒车 接人 告诉 答案
2233,收评 光伏 上涨 下跌 近期 加仓
2234,冲高 回落 基建 军工 高位 震荡 调仓
2235,成长 表现 蓝筹股 表现
2236,复盘 上涨 全红 板块 分析
2237,突发 大跳水 A股 下跌 原因 找到
2238,收评 光伏 新能源 近期 策略
2239,比翔 还翔
2240,星期天 天跌
2241,奇葩
2242,每日 点评 26
2243,光伏 新能源 半导体 医疗 投资 分享
2244,垃基中 战斗机
2245,不择 白马 时代 结束 菜坤
2246,一坨翔
2247,乐色 乐色
2248,购买 仓位 1%
2249,每周 四天 暴涨 0.1%
2250,四连绿
2251,规模 一百多 起飞 封神
2252,规模 资金 净值 腰斩 资金
2253,天天 坑爹 几个
2254,算上 四连跌 无语
2255,进场 不知
2256,北冥有
2257,真不香 一年 起色
2258,大盘 跌破 3100 近期 行情 还会 往下
2259,自选 唯一 估计 下跌 昨天 高手 高手
2260,废掉
2261,赎回 问问 地产
2262,一周 能行 坤哥
2263,好久 说话
2264,秃坤 限购 前以 分红 方式 基民 规避 风险
2265,OTCFUND 005827 周四
2266,禿坤
2267,大盘 大盘 涨起来
2268,减税 降费 支持 实体 经济 发展 资本 市场 一重 利好
2269,排到 人气 第三名 不要脸
2270,OTCFUND 005827
2271,有人 妈呀 胆子
2272,昨天 33.65 无语
2273,小財 理财 26 操作 策略 半导体 电子 医疗 消费
2274,2022.5 26 理财 日记 煤炭 基建 半导体
2275,OTCFUND 005827 真实 一年
2276,一季度 我国 吸收外资 开门 外资
2277,本事 跌倒 0.1
2278,公司 天天
2279,A股 低开 医药 芯片 光伏 等加
2280,垃圾 货色 冒充 几只 股票 跌成
2281,天天 真的 没意思
2282,一年 死翘翘
2283,明年
2284,收益
2285,聪明 信任 靠你了
2286,不行 再也 不买
2287,支付宝 两年 补仓 头皮发麻 还套 20 个点 亏了
2288,玩意儿 两百天 能亏 百分之三
2289,恶心 到家
2290,大盘 翻红 阿坤 持股 依然 绿油油 阿坤
2291,OTCFUND 005827 牛哇 大盘
2292,猴子 上蹿下跳 乐色 大笑 大笑
2293,005827 麻烦 价值 投资 成立 巴菲特
2294,tmd 星期
2295,回本 遥遥无期
2296,苏州 南京 热点 二线 城市 放松 限购 一线 城市
2297,利好 市场
2298,OTCFUND 005827 秃头 一根
2299,OTCFUND 005827 5000 恒生
2300,指数 兜兜 一圈 回来 解套 遥遥无期
2301,国务院 常务会议 加大 金融 支持 实体 经济 措施 鼓励
2302,此基为 第一 只基 重仓 浮亏 今日 清仓
2303,不行 调调 别死 喝酒 可怜
2304,A股
2305,佛祖 快点 超度 免得 害人
2306,新手 干货 积累 财富 投给 普通人 涨工资
2307,再见
2308,假期 公募 高质量 发展 意见
2309,最高点 两年 亏了 35% 割肉 韭菜
2310,葛兰 只能 躺平
2311,加油
2312,垫底
2313,心好
2314,鸡眼
2315,财经 晨信 26
2316,水平 垃圾 便宜
2317,一年 33
2318,OTCFUND 005827 黑暗 一周
2319,加油 加油 加油
2320,光伏 新能源 医疗 半导体 投资 分享
2321,胡乱
2322,乐色 乐色 无可否认 大笑 大笑 大笑
2323,净值
2324,明天 指标 发现 主力 真实 意图
2325,月底 出台 经济 政策 细则 美联储 加息 步伐 加快
2326,盘前 播报 A股 企稳 反弹 3100 有望 市场 支撑
2327,讲真 兰兰 治愈
2328,有进 举个
2329,日记 22 26
2330,OTCFUND 005827 万红 丛中
2331,封神 不行
2332,收益
2333,一年 40 个点
2334,全世界 唯独 绿色 人才
2335,收益 nice 大笑
2336,一位 优秀
2337,复盘 指数 突破 压力 全红 寻找机会
2338,垃圾
2339,机构 留下 散户 不停 加仓
2340,一年 33% 股票
2341,十大 重仓 全绿 垫底 阿坤 瞎蒙 出名
2342,自选 唯一 真行 雷小 能手
2343,每日 点评 25
2344,指数 回来 午后 挺住 希望 回口
2345,一年 亏了 百分之四十
2346,股票 四万元 八百 六十元 万元
2347,大盘 跌成 真想 出口
2348,不想 骂人 忍不住 要开 专业
2349,烂愁
2350,2500 一分钱
2351,三连跌 企稳 反弹 启动
2352,OTCFUND 005827 张坤能
2353,有没有 亏着 心痛
2354,管理 垫底 很快 垫底 名人 菜坤
2355,房贷 提前
2356,这比司 价高
2357,垃圾
2358,几天 表现 不佳 努力
2359,一颗 树上 吊死 大笑 大笑 大笑
2360,看不到 我发 评论
2361,潮水 裸泳 风来 血淋
2362,手握 七只 丫是 绿头 差评
2363,2.05 过不去
2364,一方 达上 浪费时间 垃圾
2365,活见鬼
2366,段时间 波动 便宜 筹码
2367,真的 垃圾 方向 只会 建仓
2368,放眼 国际 特斯拉 德国 柏林 工厂 投产 宣传 开发 锰基
2369,金牛
2370,今日 大跌 短期
2371,大盘 多点 明天 大盘
2372,购买
2373,盐水 两年 一个样
2374,风口 不过如此
2375,一键 布局 受益 油价 上涨 核心 石化 产业 资产 把握 石化
2376,长期 电动车 十年 黄金 赛道 中国 锂电 产业链 具备
2377,烂基 从来不 只能
2378,放眼 国际 特斯拉 德国 柏林 工厂 投产 宣传 开发 锰基
2379,市场 缩量 减仓 机会
2380,价格低 单价 摊底 上周
2381,62 与众不同 得意 得意 得意
2382,垃圾
2383,快亏
2384,4000 股票 上涨 阿坤 下跌 阿坤 失望
2385,OTCFUND 005827 我太难 昨天
2386,23 个点
2387,秃驴 要争 倒数 第一 大笑 大笑
2388,持有 这么久 困惑 扶不起 阿斗
2389,哈哈哈 哈哈哈 哈哈哈 哈哈哈
2390,情绪 回暖 3000
2391,垃圾
2392,2022 20 投资 思考
2393,永远
2394,后悔莫及
2395,看着 屁屁 吐吐
2396,OTCFUND 005827 大盘 反弹
2397,重仓 表现 理想
2398,景象 凉凉的 吃面
2399,行情 走势图
2400,没完没了
2401,勇敢 爱坤永 相随 记得 这句 誓言
2402,指数 垃圾
2403,创弱 预示 风格 切换
2404,收益
2405,垃圾
2406,排名 雄起 一回
2407,全球 光伏 发电 市场 发展 迅猛 国际 能源
2408,茅台 可不是 可口可乐
2409,放眼 国际 特斯拉 德国 柏林 工厂 投产 宣传 开发 锰基
2410,A股 第四次 面对 3100 刀头
2411,天天 没意思
2412,周定 主力 下手
2413,一群 价值 投资 长期 持有
2414,高点
2415,早盘 缩量 上涨 北向 资金 流入 午后 行情 表现
2416,感觉 表现 市场
2417,2022.5 25 午评 快速 回本 板块
2418,短线 区间 震荡 反弹 中长线 危得机
2419,纳指 周五 收跌 0.3% 本周 累跌 3.82% 创周线 连跌 标普
2420,亏亏 咋整
2421,每周 四天 现象
2422,OTCFUND 005827 股票 还会 反弹
2423,兴奋 兴奋 兴奋 兴奋 兴奋 恨死
2424,太难
2425,一泡 shi
2426,希望 回本 半年 十多个 砖家
2427,OTCFUND 005827 本想 憋着 不骂
2428,短期 理财 利器 同业 存单 指数
2429,医疗 两大 垃圾 小白 两个 垃圾
2430,一只 经营
2431,OTCFUND 005827
2432,这货 天天
2433,这一波 起码 反弹
2434,涨停
2435,熊市 反弹 布局
2436,OTCFUND 005827 废物 工作
2437,财经 晨信 25
2438,盘前 播报 美股 回落 A股
2439,混合型 证券 投资 产品 资料 概要
2440,日记 22 25
2441,垃鸡 一两年 三四十
2442,盈亏 日记 亏损 400 美股 反弹 周二 看涨
2443,2022 24 欧洲 指数 收盘 状况 截图 所示
2444,阿坤 表现 垫底 阿坤 失望 点赞
2445,盈亏 日记 亏损 2000 美股 今夜 大幅 回落
2446,收评 新能源 医疗 大跌 近期 操作
2447,表现 真的 不好
2448,茅台 顶握 这算 投资 下跌
2449,加大 投入
2450,收益 哈哈哈哈
2451,A股 再度 失守 3100 诱多 警告 两天 见效
2452,偷笑 偷笑
2453,疑问 水平 没错
2454,张坤能 全绿 水平
2455,平台 发帖子 狠快 屏蔽
2456,十大 重仓 长期 对冲
2457,A股 三大 指数 大跌 股市 外资 100
2458,身体健康
2459,两个 不愧 一哥 捂脸
2460,市场 波动 点评 24
2461,终于 回调 倒车 接人 机会
2462,早盘 上周五 追涨 煤炭 好像 正确
2463,OTCFUND 005827 好久
2464,指数 震荡 日线 抄底 布局
2465,几只 一只 选择 坤哥
2466,复工 复产 地方 食品饮料 抬头
2467,2021.01 22 估值 3.1652 进场 估值 2.0578 跌到
2468,辞职
2469,OTCFUND 005827 秃头 永远 亏神
2470,天天
2471,百万 实盘 大头 24 投资 分享 近期 关注
2472,基民 几年
2473,A股 三大 指数 大跌 外资 100
2474,慢慢 春食 资金
2475,求求 50
2476,好好 一波 欠揍
2477,啥时候 反弹 真的 太难
2478,几天 感觉 超跌 反弹 算不上
2479,A股 新一轮 上行 周期 市场 抄底 机会
2480,北向 资金 分析 行情 走向 减仓
2481,房地产 行业 政策 利好 频出 关注 布局 方向
2482,南京 套房 套房 贷款 利率 下调 主流
2483,20 卖出 奇怪 交易 不到 30% 分数
2484,18 央行 外汇局 提出 金融服务 加大 支持 实体
2485,边缘
2486,急紧
2487,滴汗 滴汗 滴汗 滴汗
2488,不见 不要命
2489,5.24 操作 大跌 反弹 结束
2490,房地产 市场 短期内 政策 加码
2491,22Q1 上市 银行贷款 余额 同比 增长 10.98% 依然
2492,22 中央政治局 会议 提出 支持
2493,丢人
2494,外资 再度 大幅 流出 70 A股 三大 指数 1%
2495,乐色 乐色
2496,蜗牛 出井 日子 惊讶 这基 这基
2497,还会 二次 探底
2498,真的
2499,化工行业 ETF 周期 成长 代表
2500,置换
2501,全是 看运气
2502,回老家 垃圾
2503,我定 这是 不错 买入 机会
2504,鬼多
2505,台阶 初生 反弹 不带
2506,2022.5 24 午评 快速 回本 板块
2507,一坨
2508,OTCFUND 005827 秃头 三年
2509,明天 大跌 个点
2510,借鉴 学习 专业 投资 机构 主动型 挑选 策略
2511,唯唯诺诺 一泻千里
2512,天天 大盘 雷王
2513,这支 真的 心到
2514,天天 干红
2515,跌落 神坛 大笑
2516,OTCFUND 005827 脑子
2517,大跌 原因
2518,多久 解套
2519,天天 对冲 啥时候 个头
2520,一碗
2521,财经 晨信 24
2522,时间 证明 只好
2523,真的 个点 剩下
2524,火苗 掐灭
2525,炒股 不过如此
2526,日记 22 24
2527,风格 漂移
2528,收评 下跌 半导体 上涨 近期 策略
2529,盘前 播报 A股 有望 上涨
2530,A股 大底 机构 纷纷 转多 看好
2531,三年 亏了 30% 卖定 离场 愿赌服输
2532,脑子 灵活机动 战略战术
2533,861 冒泡 伤心
2534,一回 回本
2535,自有 天道
2536,吊坤 无法形容 太差
2537,指数 上涨 短线 把握 节奏
2538,坤哥 大雷
2539,OTCFUND 005827 垃圾 20
2540,OTCFUND 005827 废材
2541,废物 废物 4.27 2.87% 新能源 反弹 15% 半导
2542,OTCFUND 005827 人真 明白
2543,上午 下午 一个点 至少
2544,要死 不落气 一只
2545,这是
2546,真的 五月份 4.11 回血 二十个
2547,副总裁 领导 贾健 小青年 好意思
2548,OTCFUND 005827 张秃 两年
2549,与时俱进 墨守陈规 固执己见 不知 变通 守株
2550,今人 失望
2551,麻辣
2552,OTCFUND 005827 nm
2553,900 几亿 规模 亏到 500 多亿 人才
2554,si
2555,自选 屏蔽掉 产品
2556,一日游 短线 不划算
2557,破罐破摔 多烂 多烂
2558,麻蛋 再也
2559,这基 啥时候 回本
2560,不行
2561,降低 打工仔 身份
2562,每日 点评 23
2563,半导体 新能源 光伏 医疗 投资 分享
2564,午评 光伏 半导体 抄底 告诉
2565,吃面 收益 指望 新基
2566,斗基 大赛 005827
2567,中国 证券报 市场 赚钱 效应 机构
2568,年报 解读 一年 血亏 135 千万 基民 路在何方
2569,上周五 泄气
2570,每周 一贴
2571,调整 到位 选股 能力 一流 估值 护城
2572,去年 四季度 一季度 海外 发行 中国 相关
2573,排名 垫底
2574,中国 证券报 市场 赚钱 效应 机构
2575,截止 25% 何时能 苦恼
2576,吃瓜
2577,重仓股 百分之 87 惊讶 惊讶 可怜 可怜
2578,组合 周报 正表 20220520
2579,不配 爱坤 信徒 鼓掌
2580,说实话 军工 回调 配置
2581,赚钱 只求
2582,军工 前段时间 回血 回调 回本
2583,一枚
2584,OTCFUND 005827 难愁 两年
2585,百万 实盘 大头 23 投资 分享 近期 关注
2586,涨个 两点 收益率 25 割肉 出局 为啥
2587,军工 个股 表现 分化 好像 行情
2588,长期 持有 加仓 依然
2589,双杀 同胞们 茅台 重回 23
2590,多人 割肉
2591,不办 人事
2592,大盘 大涨 这鸡 没戏
2593,午后 持续 拉升 赛道 偏弱 题材 活跃
2594,5.23 操作 震荡 行情
2595,管管 基民
2596,难过
2597,跌得 诺安 成长 跌得
2598,不知 明星 市场
2599,这货 千万别
2600,一支 红绿 人比坤哥 指数
2601,坤哥 好久不见 没出息 阿斗 再世
2602,大佬 观点
2603,财经 晨信 23
2604,大盘 博弈 阶段 力度
2605,OTCFUND 005827 不知
2606,牛牌 垃圾
2607,OTCFUND 005827
2608,一月 只能 时间 挨打
2609,玩意 一日游 对冲 没完没了
2610,OTCFUND 005827 每周 一必
2611,OTCFUND 005827
2612,欧美 市场 涨跌互现 A股 压力
2613,OTCFUND 005827 百分之三十
2614,OTCFUND 005827
2615,回家 垃圾
2616,横盘 好久
2617,复盘 指数 大涨 全红 耐心 市场 机会
2618,日记 22 23
2619,OTCFUND 005827 抑郁
2620,OTCFUND 005827 大盘
2621,周评 周末 消息面 解读 下周 布局
2622,OTCFUND 005827 明天 何去
2623,斗基 大赛 005827 国际 形式
2624,一周年 纪念日
2625,5.22 复盘 医疗 半导体 新能源 行业 估值 分析
2626,周评 周末 消息面 解读 下周 布局
2627,盈亏 日记 盈利 2.6 美股 下跌
2628,2018 年底 底部 构造 分析 底部 空间
2629,双休 消息 汇集 下周 行情 延续 反弹
2630,午评 A股 高开低走 市场 下跌 原因 找到
2631,上市 新股 无一破发 市场 赚钱 效应 明显增加
2632,韭菜 坚挺 割肉
2633,抑制 冒尖 明星 薪酬 大限
2634,分类 方法 大家族 傻傻 分不清
2635,A股 重返 3100 回血 4800 下周
2636,500 多亿 套路 副总裁 值得 拥有
2637,投顾 项目 周报 20220520
2638,收评 喝酒 吃药 行情 重现 加仓
2639,远虑 近忧
2640,基友们 早上好 我用 农行 卡买 昨天 3.3266
2641,请问 亲们 规模 减少 是因为 基民 赎回 基金净值
2642,告诉
2643,小财 理财 收益 消费 持仓 前景 分析
